component	line	slot	tag	kind	anatomy	part	carried	missingTokens	unresolvedIdents
accordion	11	accordion	AccordionPrimitive.Root	call:cn	Accordion	(root)	yes	-	-
accordion	15	accordion-item	AccordionPrimitive.Item	call:cn	AccordionItem	-	NO	border-b last:border-b-0	-
accordion	19	-	AccordionPrimitive.Header	literal	-	-	NO	flex	-
accordion	19	accordion-trigger	AccordionPrimitive.Trigger	call:cn	AccordionTrigger	-	NO	state [--ds-state-base:var(--background)] flex flex-1 items-center justify-between gap-4 rounded-md py-4 text-left text-sm font-medium outline-none transition-all hover:underline focus-visible:border-focus-contrast focus-visible:ring-[3px] focus-visible:ring-ring disabled:pointer-events-none disabled:opacity-50 [&[data-state=open]>svg]:rotate-180	-
accordion	19	-	svg	literal	-	-	NO	size-4 shrink-0 transition-transform	-
accordion	23	accordion-content	AccordionPrimitive.Content	literal	AccordionContent	-	NO	overflow-hidden text-sm data-[state=closed]:animate-accordion-up data-[state=open]:animate-accordion-down	-
accordion	23	-	div	call:cn	-	-	NO	pb-4 pt-0	-
alert	49	alert	div	call:cn	Alert	(root)	yes	-	-
alert	52	alert-title	div	call:cn	AlertTitle	AlertTitle	yes	-	-
alert	55	alert-description	div	call:cn	AlertDescription	AlertDescription	yes	-	-
alert	58	alert-action	div	call:cn	AlertAction	AlertAction	yes	-	-
alert-dialog	27	alert-dialog-overlay	AlertDialogPrimitive.Overlay	call:cn	AlertDialogOverlay	-	NO	inset-0 bg-black/50	-
alert-dialog	34	alert-dialog-content	AlertDialogPrimitive.Content	call:cn	AlertDialogContent	-	yes	-	-
alert-dialog	44	alert-dialog-header	div	call:cn	AlertDialogHeader	-	NO	flex flex-col gap-2 text-center sm:text-left	-
alert-dialog	48	alert-dialog-footer	div	call:cn	AlertDialogFooter	-	NO	flex flex-col-reverse gap-2 sm:flex-row sm:justify-end	-
alert-dialog	52	alert-dialog-title	AlertDialogPrimitive.Title	call:cn	AlertDialogTitle	-	NO	text-lg font-semibold	-
alert-dialog	56	alert-dialog-description	AlertDialogPrimitive.Description	call:cn	AlertDialogDescription	-	NO	text-sm text-muted-foreground	-
alert-dialog	60	alert-dialog-action	AlertDialogPrimitive.Action	call:cn	AlertDialogAction	-	NO	inline-flex shrink-0 items-center justify-center gap-2 rounded-md text-sm font-medium whitespace-nowrap transition-all focus-visible:border-focus-contrast focus-visible:ring-[3px] focus-visible:ring-ring disabled:pointer-events-none disabled:opacity-50 aria-invalid:border-destructive aria-invalid:ring-destructive/20 [&_svg]:pointer-events-none [&_svg]:shrink-0 [&_svg:not([class*='size-'])]:size-4 state [--ds-state-base:var(--primary)] text-primary-foreground h-9 px-4 py-2 has-[>svg]:px-3	-
alert-dialog	64	alert-dialog-cancel	AlertDialogPrimitive.Cancel	call:cn	AlertDialogCancel	-	NO	inline-flex shrink-0 items-center justify-center gap-2 rounded-md text-sm font-medium whitespace-nowrap transition-all focus-visible:border-focus-contrast focus-visible:ring-[3px] focus-visible:ring-ring disabled:pointer-events-none disabled:opacity-50 aria-invalid:border-destructive aria-invalid:ring-destructive/20 [&_svg]:pointer-events-none [&_svg]:shrink-0 [&_svg:not([class*='size-'])]:size-4 state [--ds-state-base:var(--background)] shadow-xs h-9 px-4 py-2 has-[>svg]:px-3	-
avatar	50	avatar	AvatarPrimitive.Root	call:cn	Avatar	(root)	yes	-	-
avatar	54	avatar-image	AvatarPrimitive.Image	call:cn	AvatarImage	AvatarImage	yes	-	-
avatar	58	avatar-fallback	AvatarPrimitive.Fallback	call:cn	AvatarFallback	AvatarFallback	yes	-	-
avatar	86	avatar-badge	span	call:cn	AvatarBadge	AvatarBadge	yes	-	-
avatar	106	avatar-group	div	call:cn	AvatarGroup	AvatarGroup	yes	-	-
avatar	131	avatar-group-count	span	call:cn	AvatarGroupCount	AvatarGroupCount	yes	-	-
badge	16	badge	span	call:cn	Badge	(root)	yes	-	-
breadcrumb	15	breadcrumb	nav	call:cn	Breadcrumb	(root)	yes	-	-
breadcrumb	19	breadcrumb-list	ol	call:cn	BreadcrumbList	BreadcrumbList	yes	-	-
breadcrumb	23	breadcrumb-item	li	call:cn	BreadcrumbItem	BreadcrumbItem	yes	-	-
breadcrumb	28	breadcrumb-link	Comp	call:cn	BreadcrumbLink	BreadcrumbLink	yes	-	-
breadcrumb	32	breadcrumb-page	span	call:cn	BreadcrumbPage	BreadcrumbPage	yes	-	-
breadcrumb	36	breadcrumb-separator	li	call:cn	BreadcrumbSeparator	BreadcrumbSeparator	yes	-	-
breadcrumb	40	breadcrumb-ellipsis	span	call:cn	BreadcrumbEllipsis	BreadcrumbEllipsis	yes	-	-
breadcrumb	40	-	svg	literal	-	-	NO	size-4	-
breadcrumb	40	-	span	literal	-	-	NO	sr-only	-
button	92	button	Comp	call:cn	Button	(root)	yes	-	-
button-group	47	button-group	div	call:cn	ButtonGroup	(root)	yes	-	-
button-group	52	button-group-text	div	call:cn	ButtonGroupText	ButtonGroupText	yes	-	-
button-group	96	button-group-separator	Separator	call:cn	ButtonGroupSeparator	ButtonGroupSeparator	yes	-	-
calendar	81	calendar-header	div	call:cn	CalendarHeader	CalendarHeader	yes	-	-
calendar	85	calendar-nav	button	call:cn	CalendarNav	CalendarNav	yes	-	-
calendar	85	-	svg	literal	-	-	NO	size-4	-
calendar	89	calendar-caption	div	call:cn	CalendarCaption	CalendarCaption	yes	-	-
calendar	93	calendar-grid	table	call:cn	CalendarGrid	CalendarGrid	yes	-	-
calendar	97	calendar-head-cell	th	call:cn	CalendarHeadCell	CalendarHeadCell	yes	-	-
calendar	101	calendar-cell	td	call:cn	CalendarCell	CalendarCell	yes	-	-
calendar	105	calendar-day	button	call:cn	CalendarDay	CalendarDay	yes	-	-
calendar	295	calendar	div	call:cn	Calendar	(root)	yes	-	-
calendar	303	-	span	literal	-	-	NO	sr-only	-
card	25	card	div	call:cn	Card	(root)	yes	-	-
card	36	card-header	div	call:cn	CardHeader	-	NO	@container/card-header grid auto-rows-min grid-rows-[auto_auto] items-start gap-2 px-6 has-data-[slot=card-action]:grid-cols-[1fr_auto] [.border-b]:pb-6	-
card	49	card-title	div	call:cn	CardTitle	-	NO	leading-none font-semibold	-
