story	cell	owner	slot	tag	role	inScan	nativeInteractive	visualW	visualH	hitW	hitH	square24	clipAncestor	clipRoom	after	note	chain
accordion	expansion:single;open:closed	accordion	accordion-trigger	button	-	true	true	512	54.4	512	56	true	-	-	-	-	accordion-item,accordion
accordion	expansion:single;open:closed	accordion	accordion-trigger	button	-	true	true	512	54.4	512	55	true	-	-	-	-	accordion-item,accordion
accordion	expansion:single;open:closed	-	-	button	-	false	true	0	0	-	-	-	-	-	-	not-rendered	-
accordion	expansion:single;open:closed	-	-	button	-	false	true	0	0	-	-	-	-	-	-	not-rendered	-
accordion	expansion:single;open:closed	-	-	button	-	false	true	0	0	-	-	-	-	-	-	not-rendered	-
accordion	expansion:single;open:closed	-	-	a	-	false	true	0	0	-	-	-	-	-	-	not-rendered	-
accordion	expansion:single;open:closed	-	-	a	-	false	true	0	0	-	-	-	-	-	-	not-rendered	-
accordion	expansion:single;open:closed	-	-	a	-	false	true	0	0	-	-	-	-	-	-	not-rendered	-
accordion	expansion:single;open:closed	-	-	a	-	false	true	0	0	-	-	-	-	-	-	not-rendered	-
accordion	expansion:single;open:open	accordion	accordion-trigger	button	-	true	true	512	54.4	512	56	true	-	-	-	-	accordion-item,accordion
accordion	expansion:single;open:open	accordion	accordion-trigger	button	-	true	true	512	54.4	512	56	true	-	-	-	-	accordion-item,accordion
accordion	expansion:single;open:open	-	-	button	-	false	true	0	0	-	-	-	-	-	-	not-rendered	-
accordion	expansion:single;open:open	-	-	button	-	false	true	0	0	-	-	-	-	-	-	not-rendered	-
accordion	expansion:single;open:open	-	-	button	-	false	true	0	0	-	-	-	-	-	-	not-rendered	-
accordion	expansion:single;open:open	-	-	a	-	false	true	0	0	-	-	-	-	-	-	not-rendered	-
accordion	expansion:single;open:open	-	-	a	-	false	true	0	0	-	-	-	-	-	-	not-rendered	-
accordion	expansion:single;open:open	-	-	a	-	false	true	0	0	-	-	-	-	-	-	not-rendered	-
accordion	expansion:single;open:open	-	-	a	-	false	true	0	0	-	-	-	-	-	-	not-rendered	-
accordion	expansion:multiple;open:closed	accordion	accordion-trigger	button	-	true	true	512	54.4	512	56	true	-	-	-	-	accordion-item,accordion
accordion	expansion:multiple;open:closed	accordion	accordion-trigger	button	-	true	true	512	54.4	512	55	true	-	-	-	-	accordion-item,accordion
accordion	expansion:multiple;open:closed	-	-	button	-	false	true	0	0	-	-	-	-	-	-	not-rendered	-
accordion	expansion:multiple;open:closed	-	-	button	-	false	true	0	0	-	-	-	-	-	-	not-rendered	-
accordion	expansion:multiple;open:closed	-	-	button	-	false	true	0	0	-	-	-	-	-	-	not-rendered	-
accordion	expansion:multiple;open:closed	-	-	a	-	false	true	0	0	-	-	-	-	-	-	not-rendered	-
accordion	expansion:multiple;open:closed	-	-	a	-	false	true	0	0	-	-	-	-	-	-	not-rendered	-
accordion	expansion:multiple;open:closed	-	-	a	-	false	true	0	0	-	-	-	-	-	-	not-rendered	-
accordion	expansion:multiple;open:closed	-	-	a	-	false	true	0	0	-	-	-	-	-	-	not-rendered	-
accordion	expansion:multiple;open:open	accordion	accordion-trigger	button	-	true	true	512	54.4	512	56	true	-	-	-	-	accordion-item,accordion
accordion	expansion:multiple;open:open	accordion	accordion-trigger	button	-	true	true	512	54.4	512	56	true	-	-	-	-	accordion-item,accordion
accordion	expansion:multiple;open:open	-	-	button	-	false	true	0	0	-	-	-	-	-	-	not-rendered	-
accordion	expansion:multiple;open:open	-	-	button	-	false	true	0	0	-	-	-	-	-	-	not-rendered	-
accordion	expansion:multiple;open:open	-	-	button	-	false	true	0	0	-	-	-	-	-	-	not-rendered	-
accordion	expansion:multiple;open:open	-	-	a	-	false	true	0	0	-	-	-	-	-	-	not-rendered	-
accordion	expansion:multiple;open:open	-	-	a	-	false	true	0	0	-	-	-	-	-	-	not-rendered	-
accordion	expansion:multiple;open:open	-	-	a	-	false	true	0	0	-	-	-	-	-	-	not-rendered	-
accordion	expansion:multiple;open:open	-	-	a	-	false	true	0	0	-	-	-	-	-	-	not-rendered	-
alert	variant:default	button	button	button	-	true	true	77.8	32	78	33	true	-	-	-	-	alert-action,alert
alert	variant:default	-	-	button	-	false	true	0	0	-	-	-	-	-	-	not-rendered	-
alert	variant:default	-	-	button	-	false	true	0	0	-	-	-	-	-	-	not-rendered	-
alert	variant:default	-	-	button	-	false	true	0	0	-	-	-	-	-	-	not-rendered	-
alert	variant:default	-	-	a	-	false	true	0	0	-	-	-	-	-	-	not-rendered	-
alert	variant:default	-	-	a	-	false	true	0	0	-	-	-	-	-	-	not-rendered	-
alert	variant:default	-	-	a	-	false	true	0	0	-	-	-	-	-	-	not-rendered	-
alert	variant:default	-	-	a	-	false	true	0	0	-	-	-	-	-	-	not-rendered	-
alert	variant:success	button	button	button	-	true	true	77.8	32	78	33	true	-	-	-	-	alert-action,alert
alert	variant:success	-	-	button	-	false	true	0	0	-	-	-	-	-	-	not-rendered	-
alert	variant:success	-	-	button	-	false	true	0	0	-	-	-	-	-	-	not-rendered	-
alert	variant:success	-	-	button	-	false	true	0	0	-	-	-	-	-	-	not-rendered	-
alert	variant:success	-	-	a	-	false	true	0	0	-	-	-	-	-	-	not-rendered	-
alert	variant:success	-	-	a	-	false	true	0	0	-	-	-	-	-	-	not-rendered	-
alert	variant:success	-	-	a	-	false	true	0	0	-	-	-	-	-	-	not-rendered	-
alert	variant:success	-	-	a	-	false	true	0	0	-	-	-	-	-	-	not-rendered	-
alert	variant:warning	button	button	button	-	true	true	77.8	32	78	33	true	-	-	-	-	alert-action,alert
alert	variant:warning	-	-	button	-	false	true	0	0	-	-	-	-	-	-	not-rendered	-
alert	variant:warning	-	-	button	-	false	true	0	0	-	-	-	-	-	-	not-rendered	-
alert	variant:warning	-	-	button	-	false	true	0	0	-	-	-	-	-	-	not-rendered	-
alert	variant:warning	-	-	a	-	false	true	0	0	-	-	-	-	-	-	not-rendered	-
alert	variant:warning	-	-	a	-	false	true	0	0	-	-	-	-	-	-	not-rendered	-
alert	variant:warning	-	-	a	-	false	true	0	0	-	-	-	-	-	-	not-rendered	-
alert	variant:warning	-	-	a	-	false	true	0	0	-	-	-	-	-	-	not-rendered	-
alert	variant:destructive	button	button	button	-	true	true	77.8	32	78	33	true	-	-	-	-	alert-action,alert
alert	variant:destructive	-	-	button	-	false	true	0	0	-	-	-	-	-	-	not-rendered	-
alert	variant:destructive	-	-	button	-	false	true	0	0	-	-	-	-	-	-	not-rendered	-
alert	variant:destructive	-	-	button	-	false	true	0	0	-	-	-	-	-	-	not-rendered	-
alert	variant:destructive	-	-	a	-	false	true	0	0	-	-	-	-	-	-	not-rendered	-
alert	variant:destructive	-	-	a	-	false	true	0	0	-	-	-	-	-	-	not-rendered	-
alert	variant:destructive	-	-	a	-	false	true	0	0	-	-	-	-	-	-	not-rendered	-
alert	variant:destructive	-	-	a	-	false	true	0	0	-	-	-	-	-	-	not-rendered	-
alert-dialog	open:closed	alert-dialog	alert-dialog-trigger	button	-	true	true	83.8	36	84	37	true	-	-	-	-	-
alert-dialog	open:closed	-	-	button	-	false	true	0	0	-	-	-	-	-	-	not-rendered	-
alert-dialog	open:closed	-	-	button	-	false	true	0	0	-	-	-	-	-	-	not-rendered	-
alert-dialog	open:closed	-	-	button	-	false	true	0	0	-	-	-	-	-	-	not-rendered	-
alert-dialog	open:closed	-	-	a	-	false	true	0	0	-	-	-	-	-	-	not-rendered	-
alert-dialog	open:closed	-	-	a	-	false	true	0	0	-	-	-	-	-	-	not-rendered	-
alert-dialog	open:closed	-	-	a	-	false	true	0	0	-	-	-	-	-	-	not-rendered	-
alert-dialog	open:closed	-	-	a	-	false	true	0	0	-	-	-	-	-	-	not-rendered	-
alert-dialog	open:open	alert-dialog	alert-dialog-trigger	button	-	true	true	83.8	36	0	0	false	-	-	-	pointer-events:none,no-hit-point	-
